    | Name                                 | Type                 | Params
--------------------------------------------------------------------------------
0   | classifier                           | CustomMobileNetv2    | 2.2 M
1   | classifier.mnet                      | MobileNetV2          | 2.2 M
2   | classifier.mnet.features             | Sequential           | 2.2 M
3   | classifier.mnet.features.0           | Conv2dNormActivation | 928
4   | classifier.mnet.features.0.0         | Conv2d               | 864
5   | classifier.mnet.features.0.1         | BatchNorm2d          | 64
6   | classifier.mnet.features.0.2         | ReLU6                | 0
7   | classifier.mnet.features.1           | InvertedResidual     | 896
8   | classifier.mnet.features.1.conv      | Sequential           | 896
9   | classifier.mnet.features.1.conv.0    | Conv2dNormActivation | 352
10  | classifier.mnet.features.1.conv.0.0  | Conv2d               | 288
11  | classifier.mnet.features.1.conv.0.1  | BatchNorm2d          | 64
12  | classifier.mnet.features.1.conv.0.2  | ReLU6                | 0
13  | classifier.mnet.features.1.conv.1    | Conv2d               | 512
14  | classifier.mnet.features.1.conv.2    | BatchNorm2d          | 32
15  | classifier.mnet.features.2           | InvertedResidual     | 5.1 K
16  | classifier.mnet.features.2.conv      | Sequential           | 5.1 K
17  | classifier.mnet.features.2.conv.0    | Conv2dNormActivation | 1.7 K
18  | classifier.mnet.features.2.conv.0.0  | Conv2d               | 1.5 K
19  | classifier.mnet.features.2.conv.0.1  | BatchNorm2d          | 192
20  | classifier.mnet.features.2.conv.0.2  | ReLU6                | 0
21  | classifier.mnet.features.2.conv.1    | Conv2dNormActivation | 1.1 K
22  | classifier.mnet.features.2.conv.1.0  | Conv2d               | 864
23  | classifier.mnet.features.2.conv.1.1  | BatchNorm2d          | 192
24  | classifier.mnet.features.2.conv.1.2  | ReLU6                | 0
25  | classifier.mnet.features.2.conv.2    | Conv2d               | 2.3 K
26  | classifier.mnet.features.2.conv.3    | BatchNorm2d          | 48
27  | classifier.mnet.features.3           | InvertedResidual     | 8.8 K
28  | classifier.mnet.features.3.conv      | Sequential           | 8.8 K
29  | classifier.mnet.features.3.conv.0    | Conv2dNormActivation | 3.7 K
30  | classifier.mnet.features.3.conv.0.0  | Conv2d               | 3.5 K
31  | classifier.mnet.features.3.conv.0.1  | BatchNorm2d          | 288
32  | classifier.mnet.features.3.conv.0.2  | ReLU6                | 0
33  | classifier.mnet.features.3.conv.1    | Conv2dNormActivation | 1.6 K
34  | classifier.mnet.features.3.conv.1.0  | Conv2d               | 1.3 K
35  | classifier.mnet.features.3.conv.1.1  | BatchNorm2d          | 288
36  | classifier.mnet.features.3.conv.1.2  | ReLU6                | 0
37  | classifier.mnet.features.3.conv.2    | Conv2d               | 3.5 K
38  | classifier.mnet.features.3.conv.3    | BatchNorm2d          | 48
39  | classifier.mnet.features.4           | InvertedResidual     | 10.0 K
40  | classifier.mnet.features.4.conv      | Sequential           | 10.0 K
41  | classifier.mnet.features.4.conv.0    | Conv2dNormActivation | 3.7 K
42  | classifier.mnet.features.4.conv.0.0  | Conv2d               | 3.5 K
43  | classifier.mnet.features.4.conv.0.1  | BatchNorm2d          | 288
44  | classifier.mnet.features.4.conv.0.2  | ReLU6                | 0
45  | classifier.mnet.features.4.conv.1    | Conv2dNormActivation | 1.6 K
46  | classifier.mnet.features.4.conv.1.0  | Conv2d               | 1.3 K
47  | classifier.mnet.features.4.conv.1.1  | BatchNorm2d          | 288
48  | classifier.mnet.features.4.conv.1.2  | ReLU6                | 0
49  | classifier.mnet.features.4.conv.2    | Conv2d               | 4.6 K
50  | classifier.mnet.features.4.conv.3    | BatchNorm2d          | 64
51  | classifier.mnet.features.5           | InvertedResidual     | 14.8 K
52  | classifier.mnet.features.5.conv      | Sequential           | 14.8 K
53  | classifier.mnet.features.5.conv.0    | Conv2dNormActivation | 6.5 K
54  | classifier.mnet.features.5.conv.0.0  | Conv2d               | 6.1 K
55  | classifier.mnet.features.5.conv.0.1  | BatchNorm2d          | 384
56  | classifier.mnet.features.5.conv.0.2  | ReLU6                | 0
57  | classifier.mnet.features.5.conv.1    | Conv2dNormActivation | 2.1 K
58  | classifier.mnet.features.5.conv.1.0  | Conv2d               | 1.7 K
59  | classifier.mnet.features.5.conv.1.1  | BatchNorm2d          | 384
60  | classifier.mnet.features.5.conv.1.2  | ReLU6                | 0
61  | classifier.mnet.features.5.conv.2    | Conv2d               | 6.1 K
62  | classifier.mnet.features.5.conv.3    | BatchNorm2d          | 64
63  | classifier.mnet.features.6           | InvertedResidual     | 14.8 K
64  | classifier.mnet.features.6.conv      | Sequential           | 14.8 K
